Station,Train Operating Companies / Lines,Postcode,Cardinal Direction,Region,Closest Major City,Landmark 1,Landmark 2,Landmark 3
London Paddington,"Great Western Railway,Heathrow Express,Elizabeth line",W2 1HQ,South,London,London,Paddington Bear Statue,Bishop's Bridge,None
London Waterloo,South Western Railway,SE1 8SW,South,London,London,Waterloo Bridge,County Hall,South Bank Lion
London Victoria,"Southern,Gatwick Express,Southeastern",SW1V 1JU,South,London,London,Victoria Palace Theatre,Westminster Cathedral,Buckingham Palace Gate
London Liverpool Street,"Greater Anglia,Elizabeth line,c2c,Stansted Express",EC2M 7PY,South,London,London,The Gherkin (30 St Mary Axe),Liverpool Street Exchange,Spitalfields Market
London Bridge,"Southeastern,Southern,Thameslink",SE1 9SP,South,London,London,The Shard,Borough Market,Southwark Cathedral
London Charing Cross,Southeastern,WC2N 5HS,South,London,London,Trafalgar Square,Charing Cross Memorial,National Gallery
London Cannon Street,Southeastern,EC4N 6AP,South,London,London,St Paul's Cathedral,Tate Modern (nearby),Cannon Street Roman Stone
London Blackfriars,Thameslink,EC4V 3BR,South,London,London,Blackfriars Bridge,St Paul's Cathedral,Tate Modern
London Fenchurch Street,c2c,EC3M 4AJ,South,London,London,Lloyd's of London,Monument to the Great Fire,The Leadenhall Building
London Marylebone,Chiltern Railways,NW1 6JJ,South,London,London,Sherlock Holmes Museum,Madame Tussauds,Regent's Park
London Euston,"Avanti West Coast,London Northwestern Railway,Caledonian Sleeper",NW1 2RT,South,London,London,Euston Arch Memorial,British Library,St Pancras Renaissance Hotel
London St Pancras International,"East Midlands Railway,Thameslink,Southeastern,Eurostar",N1C 4QP,South,London,London,St Pancras Renaissance Hotel,British Library,Granary Square
London Kings Cross,"LNER,Thameslink,Great Northern",N1C 4AP,South,London,London,Platform 9¾ (Harry Potter),St Pancras Station,British Library
Stratford,"Greater Anglia,c2c,Elizabeth line",E15 1XE,South,London,London,Queen Elizabeth Olympic Park,ArcelorMittal Orbit,Westfield Stratford City
Clapham Junction,"South Western Railway,Southern",SW11 2QP,South,London,London,Battersea Power Station,None,None
East Croydon,"Southern,Thameslink,Gatwick Express",CR0 1LF,South,London,London,Croydon Clocktower,None,None
Wimbledon,"South Western Railway,Thameslink,Southern",SW19 7NL,South,London,London,All England Lawn Tennis Club,None,None
Richmond,"South Western Railway,Southern",TW9 1DN,South,London,London,Richmond Park,Richmond Bridge,None
Surbiton,South Western Railway,KT6 4ST,South,London,London,None,None,None
Woking,South Western Railway,GU21 6BT,South,South East,London,Woking Mosque,HG Wells Martian Tripod Statue,None
Guildford,"South Western Railway,Great Western Railway",GU1 4UT,South,South East,London,Guildford Cathedral,Guildford Castle,Guildhall Clock
Epsom,"Southern,South Western Railway",KT19 8BH,South,South East,London,Epsom Racecourse,None,None
Kingston,South Western Railway,KT1 1RT,South,London,London,Kingston Bridge,All Saints' Church Kingston,None
Twickenham,South Western Railway,TW1 1BQ,South,London,London,Twickenham Stadium,Orleans House Gallery,None
Staines,South Western Railway,TW18 4LX,South,South East,London,Staines Bridge,London Stone Staines,None
Weybridge,South Western Railway,KT13 8PA,South,South East,London,Brooklands Museum,None,None
Leatherhead,Southern,KT22 7XP,South,South East,London,None,None,None
Dorking,"Southern,Great Western Railway",RH4 1LY,South,South East,London,None,None,None
Redhill,"Southern,Thameslink",RH1 1RT,South,South East,London,None,None,None
Reigate,Southern,RH2 0BG,South,South East,London,Reigate Castle,None,None
Gatwick Airport,"Southern,Gatwick Express,Thameslink",RH6 0NP,South,South East,London,None,None,None
Three Bridges,"Southern,Thameslink",RH10 1LS,South,South East,London,None,None,None
Crawley,Southern,RH10 1JH,South,South East,London,None,None,None
Horsham,"Southern,Thameslink",RH12 1NB,South,South East,London,Horsham Park,None,None
Haywards Heath,"Southern,Thameslink,Gatwick Express",RH16 3EE,South,South East,London,None,None,None
Brighton,"Southern,Thameslink,Gatwick Express",BN1 5SJ,South,South East,London,Brighton Pier,Royal Pavilion,Brighton Wheel
Hove,"Southern,Thameslink",BN3 1AL,South,South East,London,Hove Lawns,None,None
Lewes,Southern,BN7 2UP,South,South East,London,Lewes Castle,Harvey's Brewery,None
Eastbourne,Southern,BN21 3PH,South,South East,London,Eastbourne Pier,Beachy Head Lighthouse (distant),None
Hastings,"Southeastern,Southern",TN34 1QN,South,South East,London,Hastings Castle,None,None
Bexhill,Southern,TN39 3HH,South,South East,London,De La Warr Pavilion,None,None
Worthing,Southern,BN11 1BL,South,South East,London,Worthing Pier,None,None
Littlehampton,Southern,BN17 5DZ,South,South East,London,None,None,None
Bognor Regis,Southern,PO21 1TF,South,South East,London,None,None,None
Chichester,Southern,PO19 7JA,South,South East,London,Chichester Cathedral,Chichester Cross,Chichester Roman Walls
Portsmouth Harbour,"South Western Railway,Southern",PO1 3PX,South,South East,London,Spinnaker Tower,HMS Warrior,Historic Dockyard
Portsmouth & Southsea,"South Western Railway,Southern",PO1 2LG,South,South East,London,Southsea Castle,D-Day Museum,None
Fratton,"South Western Railway,Southern",PO4 8RP,South,South East,London,None,None,None
Havant,"South Western Railway,Southern",PO9 1BZ,South,South East,London,None,None,None
Fareham,South Western Railway,PO16 0BN,South,South East,London,None,None,None
Southampton Central,"South Western Railway,Great Western Railway,CrossCountry",SO15 1AL,South,South East,London,Mayflower Theatre,Tudor Walls,SeaCity Museum
Southampton Airport Parkway,"South Western Railway,CrossCountry",SO18 2NL,South,South East,London,None,None,None
Eastleigh,"South Western Railway,CrossCountry",SO50 5RB,South,South East,London,None,None,None
Winchester,South Western Railway,SO23 8UT,South,South East,London,Winchester Cathedral,Winchester Castle Great Hall,Round Table of King Arthur
Basingstoke,"South Western Railway,Great Western Railway,CrossCountry",RG21 7LE,South,South East,London,None,None,None
Hook,South Western Railway,RG27 9DB,South,South East,London,None,None,None
Fleet,South Western Railway,GU51 3AG,South,South East,London,None,None,None
Farnborough,South Western Railway,GU14 7PA,South,South East,London,None,None,None
Alton,South Western Railway,GU34 1BE,South,South East,London,None,None,None
Andover,South Western Railway,SP10 1DS,South,South East,London,None,None,None
Salisbury,"South Western Railway,Great Western Railway",SP1 2LR,South,South West,London,Salisbury Cathedral,Old Sarum,Stonehenge (distant)
Bournemouth,South Western Railway,BH1 1BS,South,South West,London,Bournemouth Pier,Russell-Cotes Art Gallery,None
Poole,South Western Railway,BH15 1HU,South,South West,London,Poole Quay,None,None
Weymouth,South Western Railway,DT4 8DG,South,South West,London,Weymouth Harbour,Weymouth Beach,George III Statue
Brockenhurst,South Western Railway,SO42 7TW,South,South West,London,None,None,None
Lymington Town,South Western Railway,Unknown,South,South East,London,None,None,None
Lymington Pier,South Western Railway,Unknown,South,South East,London,None,None,None
Romsey,South Western Railway,Unknown,South,South East,London,None,None,None
Totton,South Western Railway,Unknown,South,South East,London,None,None,None
Christchurch,South Western Railway,Unknown,South,South West,London,None,None,None
Pokesdown,South Western Railway,Unknown,South,South East,London,None,None,None
Wareham,South Western Railway,BH20 4AB,South,South West,London,None,None,None
Wool,South Western Railway,Unknown,South,South East,London,None,None,None
Dorchester South,South Western Railway,DT1 1BR,South,South West,London,None,None,None
Dorchester West,Great Western Railway,DT1 1BR,South,South West,London,Maiden Castle (1.5km),Dorchester Museum,None
Yeovil Junction,South Western Railway,BA22 8RN,South,South West,London,None,None,None
Yeovil Pen Mill,Great Western Railway,BA21 4EG,South,South West,London,None,None,None
Crewkerne,South Western Railway,Unknown,South,South West,London,None,None,None
Axminster,South Western Railway,Unknown,South,South West,London,None,None,None
Honiton,South Western Railway,Unknown,South,South West,London,None,None,None
Exeter St Davids,"Great Western Railway,South Western Railway,CrossCountry,Avanti West Coast",EX4 4NT,South,South West,London,Exeter Cathedral (0.6km),Royal Albert Memorial Museum,None
Exeter Central,South Western Railway,EX1 1ES,South,South West,London,Exeter Cathedral,None,None
Exeter St Thomas,South Western Railway,Unknown,South,South West,London,None,None,None
Starcross,Great Western Railway,Unknown,South,South West,London,None,None,None
Dawlish Warren,Great Western Railway,Unknown,South,South West,London,None,None,None
Dawlish,Great Western Railway,Unknown,South,South West,London,None,None,None
Teignmouth,Great Western Railway,Unknown,South,South West,London,None,None,None
Newton Abbot,"Great Western Railway,CrossCountry",TQ12 2JE,South,South West,London,None,None,None
Torquay,Great Western Railway,TQ2 5UB,South,South West,London,Torquay Harbour,Torre Abbey,None
Paignton,Great Western Railway,TQ4 5DP,South,South West,London,Paignton Pier,None,None
Torre,Great Western Railway,Unknown,South,South West,London,None,None,None
Totnes,Great Western Railway,TQ9 5JR,South,South West,London,Totnes Castle,None,None
Ivybridge,Great Western Railway,Unknown,South,South West,London,None,None,None
Plymouth,"Great Western Railway,CrossCountry,Avanti West Coast",PL4 6AB,South,South West,London,Plymouth Hoe & Smeaton's Tower,Mayflower Steps,Royal Citadel
Liskeard,Great Western Railway,PL14 3AL,South,South West,London,None,None,None
Bodmin Parkway,Great Western Railway,PL30 4BB,South,South West,London,None,None,None
Lostwithiel,Great Western Railway,Unknown,South,South West,London,None,None,None
Par,Great Western Railway,PL24 2NN,South,South West,London,None,None,None
St Austell,Great Western Railway,PL25 4RP,South,South West,London,Eden Project (5km),None,None
